PIC SpO2,DC,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,1.9,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,2.9,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,3.9,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,4.9,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,5.9,6,6.1,6.2,6.3,6.4
94.147,32043,32936,33196,33400,33174,33083,33087,33028,32948,33338,33433,33181,33098,33031,32914,32801,33212,33333,33100,33078,33062,32966,32910,33408,33395,33174,33156,33096,32970,32844,33258,33310,33027,32965,32946,32852,32752,33027,33329,33085,32989,32976,32896,32774,33029,33278,33003,32859,32813,32724,32629,32858,33261,33047,32902,32896,32823,32737,32815,33366,33320,33163,33162,33081,32920
97.146,32210,33179,33204,33142,33063,33014,33351,33347,33176,33208,33189,33112,33059,33261,33427,33229,33207,33213,33117,33052,33031,33355,33254,33076,33114,33050,32962,32919,33127,33305,33109,33097,33076,33013,32959,33054,33334,33144,33018,33046,32996,32974,33024,33335,33231,33084,33110,33061,33002,32955,33283,33199,32992,33029,32984,32897,32847,33127,33214,33025,33082,33069,33009,32949,33225
95.2,31219,33095,33727,33560,33358,33415,33273,33109,33018,33493,33499,33111,33195,33187,33023,32896,33187,33501,33105,33014,33064,32936,32813,32791,33462,33282,33016,33141,33048,32923,32903,33477,33809,33461,33522,33619,33441,33279,33289,33985,33716,33386,33424,33232,33019,32957,33661,33584,33139,33189,33100,32892,32771,33305,33653,33195,33194,33238,33037,32819,32879,33754,33502,33147,33239
91.52,31303,33532,33287,33270,32983,32665,32834,34335,33973,33267,33294,33151,32824,32570,32949,34304,33814,33256,33337,33170,32851,32865,34013,33621,33036,33087,32976,32716,32800,34251,33897,33226,33264,33104,32778,32642,34210,34176,33359,33306,33166,32825,32539,33541,34331,33496,33231,33353,33159,32798,33085,34218,33609,33119,33167,32972,32666,32464,33802,34116,33237,33130,33080,32764,32467
95.82,31710,32614,33048,33358,32989,32931,32923,32794,32655,32924,33435,33129,32976,32993,32868,32722,32644,33310,33313,32963,32995,32943,32794,32661,32836,33332,33033,32891,32941,32841,32696,32749,33275,33028,32812,32843,32766,32632,32680,33386,33194,32894,32921,32832,32664,32526,33211,33454,33002,32923,32896,32729,32557,32570,33398,33266,32857,32880,32808,32629,32485,32719,33359,33009,32778
93.152,31166,33534,33935,33574,33432,33464,33322,33138,33013,33772,33872,33433,33425,33389,33214,33040,33186,33873,33564,33293,33332,33229,33054,33081,33853,33637,33288,33313,33208,33015,32916,33920,33962,33474,33439,33338,33107,32887,33616,34149,33628,33422,33378,33149,32901,32977,34000,33761,33308,33313,33181,32935,32741,33285,33824,33294,33160,33167,33014,32796,33251,33843,33324,33131,33123
96.244,31084,32806,33730,33412,33049,33126,32912,32628,32766,33715,33309,32999,33069,32837,32558,32637,33647,33268,32938,33058,32842,32578,32700,33635,33185,32904,32994,32761,32498,32928,33694,33075,32931,32948,32660,32400,32906,33744,33111,32934,32924,32599,32330,32450,33522,33114,32740,32768,32492,32210,32069,32884,33137,32566,32616,32511,32244,32093,32288,33058,32656,32506,32582,32372,32179
92.108,31168,33775,33558,33295,33553,34167,33599,33422,33377,33145,32959,33278,33944,33486,33337,33398,33186,33024,32961,33810,33772,33338,33397,33277,33085,32974,33043,33779,33413,33170,33338,33265,33135,33072,33667,33850,33343,33492,33457,33244,33081,33672,33865,33274,33368,33334,33121,32969,33809,33760,33235,33365,33247,32987,32814,33839,33767,33278,33464,33369,33101,32934,33912,33978,33411
92.238,30661,32400,32134,31958,31957,32006,33129,33038,32649,32765,32537,32357,32301,33124,33540,32955,33030,32975,32716,32547,32583,33782,33549,33038,33257,33235,33015,32832,33520,33688,32981,33144,33186,32941,32722,33533,33609,32952,33133,33165,32971,32855,33605,33983,33335,33382,33446,33178,32988,33188,34151,33687,33349,33488,33174,32880,32800,33915,33733,33179,33385,33268,33032,32849,33817
89.45,30972,34591,34545,33889,33971,33787,33503,33271,33141,34012,34008,33365,33558,33486,33190,33022,32998,33255,34150,33645,33378,33606,33375,33062,32958,33137,34132,33790,33340,33567,33398,33101,32947,33117,34152,33741,33295,33544,33381,33064,32912,33286,34223,33716,33418,33643,33379,33065,32885,33481,34148,33501,33426,33568,33206,32853,32989,34026,33606,33158,33333,33114,32761,32937,33952
